--------------------------------------------------------------------------------------------------
  Depth    MaxCuts  CatCols                           Accuracy   Precision      Recall         FPR
      6          4  [2, 5, 6, 7, 8, 9, 10]              0.8227      0.8414      0.9532      0.6472
      6         32  [3]                                 0.8227      0.8486      0.9414      0.6048
      6         32  [2, 5, 6, 7, 8, 9, 10]              0.8227      0.8392      0.9567      0.6600
      6         16  [2, 3]                              0.8224      0.8419      0.9519      0.6437
      6         16  [3]                                 0.8224      0.8418      0.9520      0.6442
      6         16  [2]                                 0.8224      0.8419      0.9519      0.6437
      5          4  [3, 5, 6, 7, 8, 9, 10]              0.8223      0.8357      0.9621      0.6810
      6          3  [2, 3, 5, 6, 7, 8, 9, 10]           0.8223      0.8391      0.9564      0.6605
      6          3  [2, 5, 6, 7, 8, 9, 10]              0.8223      0.8391      0.9564      0.6605
      3          8  [2, 3]                              0.8222      0.8467      0.9438      0.6155
      3          8  [3]                                 0.8222      0.8467      0.9438      0.6155
      3          8  [2]                                 0.8222      0.8467      0.9438      0.6155
      3         16  [2, 3]                              0.8222      0.8467      0.9438      0.6155
      3         16  [3]                                 0.8222      0.8467      0.9438      0.6155
      3         16  [2]                                 0.8222      0.8467      0.9438      0.6155
      3         24  [2, 3]                              0.8222      0.8467      0.9438      0.6155
      3         24  [3]                                 0.8222      0.8467      0.9438      0.6155
      3         24  [2]                                 0.8222      0.8467      0.9438      0.6155
      3         32  [2, 3]                              0.8222      0.8467      0.9438      0.6155
      3         32  [3]                                 0.8222      0.8467      0.9438      0.6155
      3         32  [2]                                 0.8222      0.8467      0.9438      0.6155
      4          8  [2, 3]                              0.8222      0.8467      0.9438      0.6155
      4          8  [3]                                 0.8222      0.8467      0.9438      0.6155
      4          8  [2]                                 0.8222      0.8467      0.9438      0.6155
      5         32  [2, 3, 5, 6, 7, 8, 9, 10]           0.8221      0.8364      0.9605      0.6764
      5         32  [2, 5, 6, 7, 8, 9, 10]              0.8221      0.8364      0.9605      0.6764
      6         24  [3, 5, 6, 7, 8, 9, 10]              0.8221      0.8401      0.9543      0.6539
      3          3  [2, 3, 5, 6, 7, 8, 9, 10]           0.8220      0.8338      0.9649      0.6927
      3          3  [3, 5, 6, 7, 8, 9, 10]              0.8220      0.8338      0.9649      0.6927
      3          3  [2, 5, 6, 7, 8, 9, 10]              0.8220      0.8338      0.9649      0.6927
      6          3  [3, 5, 6, 7, 8, 9, 10]              0.8220      0.8390      0.9560      0.6605
